municipio,ano,tipo_crime,casos_total,populacao,taxa_por_100mil_hab
ACEGUA,2013,Feminicídio Tentado,0,4638.0,0.0
ACEGUA,2014,Feminicídio Tentado,0,4671.0,0.0
ACEGUA,2015,Feminicídio Tentado,1,4702.0,21.26754572522331
ACEGUA,2016,Feminicídio Tentado,0,4731.0,0.0
ACEGUA,2017,Feminicídio Tentado,0,4759.0,0.0
AGUA SANTA,2013,Feminicídio Tentado,0,3838.0,0.0
AGUA SANTA,2014,Feminicídio Tentado,0,3839.0,0.0
AGUA SANTA,2015,Feminicídio Tentado,0,3840.0,0.0
AGUA SANTA,2016,Feminicídio Tentado,0,3841.0,0.0
AGUA SANTA,2017,Feminicídio Tentado,0,3841.0,0.0
AGUDO,2013,Feminicídio Tentado,1,17161.0,5.827166249053086
AGUDO,2014,Feminicídio Tentado,0,17140.0,0.0
AGUDO,2015,Feminicídio Tentado,0,17120.0,0.0
AGUDO,2016,Feminicídio Tentado,0,17102.0,0.0
AGUDO,2017,Feminicídio Tentado,0,17085.0,0.0
AJURICABA,2013,Feminicídio Tentado,0,7420.0,0.0
AJURICABA,2014,Feminicídio Tentado,0,7403.0,0.0
AJURICABA,2015,Feminicídio Tentado,0,7387.0,0.0
AJURICABA,2016,Feminicídio Tentado,0,7372.0,0.0
AJURICABA,2017,Feminicídio Tentado,0,7358.0,0.0
ALECRIM,2013,Feminicídio Tentado,1,7010.0,14.265335235378032
ALECRIM,2014,Feminicídio Tentado,1,6935.0,14.419610670511895
ALECRIM,2015,Feminicídio Tentado,0,6865.0,0.0
ALECRIM,2016,Feminicídio Tentado,0,6799.0,0.0
ALECRIM,2017,Feminicídio Tentado,0,6736.0,0.0
ALEGRETE,2013,Feminicídio Tentado,2,79054.0,2.529916259771801
ALEGRETE,2014,Feminicídio Tentado,3,78768.0,3.808653260207191
ALEGRETE,2015,Feminicídio Tentado,2,78499.0,2.5478031567281114
ALEGRETE,2016,Feminicídio Tentado,3,78244.0,3.834159807780789
ALEGRETE,2017,Feminicídio Tentado,1,78003.0,1.2820019742830404
ALEGRIA,2013,Feminicídio Tentado,0,4244.0,0.0
ALEGRIA,2014,Feminicídio Tentado,0,4188.0,0.0
ALEGRIA,2015,Feminicídio Tentado,0,4135.0,0.0
ALEGRIA,2016,Feminicídio Tentado,0,4085.0,0.0
ALEGRIA,2017,Feminicídio Tentado,0,4037.0,0.0
ALMIRANTE TAMANDARE DO SUL,2013,Feminicídio Tentado,0,2106.0,0.0
ALMIRANTE TAMANDARE DO SUL,2014,Feminicídio Tentado,0,2098.0,0.0
ALMIRANTE TAMANDARE DO SUL,2015,Feminicídio Tentado,0,2091.0,0.0
ALMIRANTE TAMANDARE DO SUL,2016,Feminicídio Tentado,0,2085.0,0.0
ALMIRANTE TAMANDARE DO SUL,2017,Feminicídio Tentado,0,2079.0,0.0
ALPESTRE,2013,Feminicídio Tentado,0,7871.0,0.0
ALPESTRE,2014,Feminicídio Tentado,0,7752.0,0.0
ALPESTRE,2015,Feminicídio Tentado,0,7640.0,0.0
ALPESTRE,2016,Feminicídio Tentado,0,7533.0,0.0
ALPESTRE,2017,Feminicídio Tentado,0,7433.0,0.0
ALTO ALEGRE,2013,Feminicídio Tentado,0,1856.0,0.0
ALTO ALEGRE,2014,Feminicídio Tentado,0,1841.0,0.0
ALTO ALEGRE,2015,Feminicídio Tentado,0,1828.0,0.0
ALTO ALEGRE,2016,Feminicídio Tentado,0,1815.0,0.0
ALTO ALEGRE,2017,Feminicídio Tentado,0,1803.0,0.0
ALTO FELIZ,2013,Feminicídio Tentado,1,3035.0,32.948929159802304
ALTO FELIZ,2014,Feminicídio Tentado,0,3017.0,0.0
ALTO FELIZ,2015,Feminicídio Tentado,0,3025.0,0.0
ALTO FELIZ,2016,Feminicídio Tentado,0,3032.0,0.0
ALTO FELIZ,2017,Feminicídio Tentado,0,3040.0,0.0
ALVORADA,2013,Feminicídio Tentado,6,204750.0,2.9304029304029307
ALVORADA,2014,Feminicídio Tentado,11,205683.0,5.3480355692983865
ALVORADA,2015,Feminicídio Tentado,7,206561.0,3.3888294498961566
ALVORADA,2016,Feminicídio Tentado,8,207392.0,3.8574294090418144
ALVORADA,2017,Feminicídio Tentado,10,208177.0,4.803604624910533
AMARAL FERRADOR,2013,Feminicídio Tentado,1,6693.0,14.940983116689075
AMARAL FERRADOR,2014,Feminicídio Tentado,0,6737.0,0.0
AMARAL FERRADOR,2015,Feminicídio Tentado,0,6778.0,0.0
AMARAL FERRADOR,2016,Feminicídio Tentado,0,6817.0,0.0
AMARAL FERRADOR,2017,Feminicídio Tentado,0,6854.0,0.0
AMETISTA DO SUL,2013,Feminicídio Tentado,0,7560.0,0.0
