arquivo,sha256,fonte_celula_verbatim,fonte_data_atualizacao_iso,ooxml_dcterms_modified_iso,mtime_local_aproximacao_download,url_origem,aviso
violencia_2012_2017.xlsx,e12b3e31db5d60993a8db12ccd09d2016f3fe3373a616b9e1d74e5b7fb36ee2e,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,2018-01-09,2023-05-17T14:58:52,2026-07-11T22:04:01.213196,,
violencia_2018.xlsx,ad6bccdcf37a4ef9ce67995f6dfaabcc7b8d01eab9e3d8cf7677b3bf76f2ef64,Fonte: SIP/PROCERGS - Atualizado em 7/1/2019.,2019-01-07,2023-05-17T17:45:04,2026-07-11T22:04:16.744753,,
violencia_2019.xlsx,b92e2a23970a96e43097d6033de8f712847344c57af9dccd8628fc3f00cbba64,Fonte: SIP/PROCERGS - Atualizado em 21/2/2020.,2020-02-21,2023-05-17T17:44:56,2026-07-11T22:02:58.805371,,
violencia_2020.xlsx,3587c1e18db7fff589908b3a8d959b066dd3510f35900d5b42cf511c440d0b8c,Fonte: SIP/PROCERGS - Atualizado em 5/5/2023.,2023-05-05,2023-05-05T14:35:35,2026-07-11T22:04:25.167643,,
violencia_2021.xlsx,06f15e1e9993c01afa7311e709605de1a1a517315cf11fa386ddbfc38a75417c,Fonte: SIP/PROCERGS - Atualizado em 4/12/2023.,2023-12-04,2023-12-04T11:38:05,2026-07-11T22:04:29.381224,,
violencia_2022.xlsx,cff47b7bd1757d9d651522446a934ba2f9419a6b898f67e94e2689121c2c1ff4,Fonte: SIP/PROCERGS - Atualizado em 6/1/2025.,2025-01-06,2025-01-06T12:40:14,2026-07-12T10:21:07.370692,,
violencia_2023.xlsx,3e0a26859b020d0bafdef0dd53b0b3725b094f5afa7f79a3205bdedfeab16b85,Fonte: SIP/PROCERGS - Atualizado em 5/1/2026.,2026-01-05,2026-01-05T13:34:01,2026-07-12T10:19:01.286346,,
violencia_2024.xlsx,39d231af35f5089fc684e0a1ae116dd0a31ee3107d060391dfc9ad70332cb101,Fonte: SIP/PROCERGS - Atualizado em 5/1/2026.,2026-01-05,2026-01-05T13:36:51,2026-07-12T10:19:03.306332,,
violencia_2025.xlsx,2612312788b5c4f39508a926f9b735ae62695af2d1416aac7bc44235c57d68e5,Fonte: SIP/PROCERGS - Atualizado em 3/7/2026.,2026-07-03,2026-07-03T14:48:28,2026-07-12T10:21:14.254010,,
violencia_2026.xlsx,873cff8ad275478249cec7c422b3bd165a5aa90fcf71d60ee3ad920d847b250f,Fonte: SIP/PROCERGS - Atualizado em 3/7/2026.,2026-07-03,2026-07-03T14:54:23,2026-07-12T10:21:19.384624,,
