tipo_crime,grupo,posicao,municipio,populacao_2025,casos_total_2018_2025,taxa_por_100mil_hab
Ameaça,top15,1,IRAI,7619,412,697.71
Ameaça,top15,2,PALMEIRA DAS MISSOES,34227,1589,592.29
Ameaça,top15,3,LAGOA VERMELHA,28622,1287,574.03
Ameaça,top15,4,SOLEDADE,30939,1376,558.44
Ameaça,top15,5,AMETISTA DO SUL,7826,334,550.63
Ameaça,top15,6,CAMPO NOVO,5063,204,538.87
Ameaça,top15,7,SOBRADINHO,14512,628,534.2
Ameaça,top15,8,TRAMANDAI,56430,2207,511.98
Ameaça,top15,9,TENENTE PORTELA,14820,574,509.66
Ameaça,top15,10,SALTO DO JACUI,10357,464,509.45
Ameaça,top15,11,TRES PASSOS,26304,997,499.99
Ameaça,top15,12,SEBERI,12325,447,487.73
Ameaça,top15,13,CRUZ ALTA,60454,2295,478.1
Ameaça,top15,14,CIDREIRA,17583,646,478.02
Ameaça,top15,15,VACARIA,66146,2468,468.17
Ameaça,bottom10,1,MORRO REUTER,6167,46,91.47
Ameaça,bottom10,2,PICADA CAFE,5473,55,123.15
Ameaça,bottom10,3,VALE REAL,6223,65,134.26
Ameaça,bottom10,4,NOVA ARACA,5098,55,139.87
Ameaça,bottom10,5,FELIZ,13994,158,143.67
Ameaça,bottom10,6,HARMONIA,5535,60,144.75
Ameaça,bottom10,7,RONDINHA,5078,60,147.73
Ameaça,bottom10,8,SANTA MARIA DO HERVAL,6486,79,154.57
Ameaça,bottom10,9,NOVA BASSANO,9867,124,156.98
Ameaça,bottom10,10,IVOTI,23566,303,158.41
Ameaça,referencia_porte,1,PORTO ALEGRE,1388794,28556,250.15
Ameaça,referencia_porte,2,CAXIAS DO SUL,479599,9182,232.46
Ameaça,referencia_porte,3,PELOTAS,336150,7226,267.64
Ameaça,referencia_porte,4,SANTA MARIA,282395,8282,368.94
Ameaça,referencia_porte,5,CANOAS,359840,8879,315.96
Ameaça,referencia_porte,6,URUGUAIANA,120819,2839,288.04
Estupro,top15,1,CIDREIRA,17583,82,60.68
Estupro,top15,2,SERTAO SANTANA,5989,26,52.2
Estupro,top15,3,PALMARES DO SUL,13189,43,44.1
Estupro,top15,4,ARROIO DO SAL,11418,35,40.82
Estupro,top15,5,FORMIGUEIRO,6527,21,39.99
Estupro,top15,6,INDEPENDENCIA,6557,20,39.53
Estupro,top15,7,SANTA BARBARA DO SUL,8269,25,38.65
Estupro,top15,8,IMBE,28027,78,38.56
Estupro,top15,9,NOVA HARTZ,20558,64,37.99
Estupro,top15,10,XANGRILA,16949,49,36.75
Estupro,top15,11,JULIO DE CASTILHOS,18545,55,36.48
Estupro,top15,12,CRUZ ALTA,60454,171,35.62
Estupro,top15,13,GUAIBA,95946,270,34.97
Estupro,top15,14,TRAMANDAI,56430,148,34.33
Estupro,top15,15,SENTINELA DO SUL,5424,15,34.17
Estupro,bottom10,1,IBIRAIARAS,6827,1,1.77
Estupro,bottom10,2,TUPARENDI,8535,3,4.59
Estupro,bottom10,3,CRISSIUMAL,13116,5,4.73
Estupro,bottom10,4,SAO JOSE DO OURO,6978,3,5.41
Estupro,bottom10,5,CANDIDO GODOI,6419,3,5.98
Estupro,bottom10,6,HORIZONTINA,19252,10,6.5
Estupro,bottom10,7,GARIBALDI,35563,19,6.75
Estupro,bottom10,8,PARAISO DO SUL,6627,4,7.04
Estupro,bottom10,9,AJURICABA,6843,4,7.24
Estupro,bottom10,10,SANANDUVA,16770,10,7.59
Estupro,referencia_porte,1,PORTO ALEGRE,1388794,2319,20.31
Estupro,referencia_porte,2,CAXIAS DO SUL,479599,472,11.95
Estupro,referencia_porte,3,PELOTAS,336150,455,16.85
Estupro,referencia_porte,4,SANTA MARIA,282395,520,23.16
Estupro,referencia_porte,5,CANOAS,359840,774,27.54
Estupro,referencia_porte,6,URUGUAIANA,120819,248,25.16
Lesão Corporal,top15,1,IMBE,28027,740,365.86
Lesão Corporal,top15,2,CIDREIRA,17583,487,360.36
Lesão Corporal,top15,3,TRAMANDAI,56430,1366,316.89
Lesão Corporal,top15,4,BALNEARIO PINHAL,15413,373,316.81
Lesão Corporal,top15,5,CAPAO DA CANOA,66234,1366,287.73
Lesão Corporal,top15,6,TENENTE PORTELA,14820,314,278.8
Lesão Corporal,top15,7,ARROIO DO SAL,11418,238,277.56
Lesão Corporal,top15,8,ERECHIM,109609,2362,275.51
Lesão Corporal,top15,9,SOBRADINHO,14512,321,273.05
Lesão Corporal,top15,10,CANELA,50715,1022,268.25
Lesão Corporal,top15,11,CRUZ ALTA,60454,1269,264.36
Lesão Corporal,top15,12,TORRES,43344,838,256.71
Lesão Corporal,top15,13,IJUI,87848,1731,254.14
Lesão Corporal,top15,14,CORONEL BICACO,6214,134,248.3
Lesão Corporal,top15,15,XANGRILA,16949,327,245.24
Lesão Corporal,bottom10,1,SAO PAULO DAS MISSOES,5943,23,49.29
Lesão Corporal,bottom10,2,HARMONIA,5535,21,50.66
Lesão Corporal,bottom10,3,PICADA CAFE,5473,25,55.98
Lesão Corporal,bottom10,4,BARAO,6496,29,57.24
Lesão Corporal,bottom10,5,RONDINHA,5078,24,59.09
Lesão Corporal,bottom10,6,BOQUEIRAO DO LEAO,6202,33,59.22
Lesão Corporal,bottom10,7,CANDIDO GODOI,6419,31,61.76
Lesão Corporal,bottom10,8,MORRO REUTER,6167,32,63.63
Lesão Corporal,bottom10,9,SALVADOR DO SUL,7184,40,67.07
Lesão Corporal,bottom10,10,PROGRESSO,5423,32,68.75
Lesão Corporal,referencia_porte,1,PORTO ALEGRE,1388794,22597,197.95
Lesão Corporal,referencia_porte,2,CAXIAS DO SUL,479599,5416,137.12
Lesão Corporal,referencia_porte,3,PELOTAS,336150,5428,201.05
Lesão Corporal,referencia_porte,4,SANTA MARIA,282395,4456,198.5
Lesão Corporal,referencia_porte,5,CANOAS,359840,5353,190.49
Lesão Corporal,referencia_porte,6,URUGUAIANA,120819,2136,216.71
