tipo_crime,nivel_agregacao,posicao,regiao,n_municipios_elegiveis,casos_total,taxa_por_100mil_hab
Ameaça,corede,1,Médio Alto Uruguai,11,4178,450.31
Ameaça,corede,2,Celeiro,9,3428,431.45
Ameaça,corede,3,Campos de Cima da Serra,3,2864,429.81
Ameaça,corede,4,Alto da Serra do Botucaraí,5,2446,422.0
Ameaça,corede,5,Norte,9,5448,414.68
Ameaça,corede,6,Produção,4,10660,410.09
Ameaça,corede,7,Litoral,15,11251,404.94
Ameaça,corede,8,Rio da Várzea,6,2853,385.77
Ameaça,corede,9,Alto Jacuí,7,4098,381.31
Ameaça,corede,10,Nordeste,6,2704,380.91
Ameaça,corede,11,Missões,13,6144,364.82
Ameaça,corede,12,Central,9,10938,360.93
Ameaça,corede,13,Noroeste Colonial,7,4560,342.43
Ameaça,corede,14,Fronteira Noroeste,11,4890,340.22
Ameaça,corede,15,Vale do Rio Pardo,16,10423,314.54
Ameaça,corede,16,Fronteira Oeste,9,12212,302.28
Ameaça,corede,17,Vale do Rio dos Sinos,14,32863,296.73
Ameaça,corede,18,Hortênsias,6,3371,294.86
Ameaça,corede,19,Vale do Jaguari,5,2291,290.03
Ameaça,corede,20,Paranhana Encosta da Serra,8,4894,286.05
Ameaça,corede,21,Vale do Taquari,14,6837,283.84
Ameaça,corede,22,Metropolitano Delta do Jacuí,10,56217,281.03
Ameaça,corede,23,Campanha,6,4842,279.87
Ameaça,corede,24,Vale do Caí,11,3649,276.28
Ameaça,corede,25,Jacuí Centro,4,2727,268.86
Ameaça,corede,26,Centro-Sul,14,5274,265.03
Ameaça,corede,27,Sul,19,17102,251.64
Ameaça,corede,28,Serra,15,17859,237.77
Ameaça,regiao_intermediaria,1,Passo Fundo,49,32989,404.39
Ameaça,regiao_intermediaria,2,Ijuí,40,19022,362.49
Ameaça,regiao_intermediaria,3,Santa Maria,21,18414,332.94
Ameaça,regiao_intermediaria,4,Santa Cruz do Sul - Lajeado,29,16921,300.98
