tipo_crime,nivel,entidade,mes,mes_nome,casos,pct_do_total_anual
Ameaça,municipio_litoral,CIDREIRA,1,Jan,86,13.31
Ameaça,municipio_litoral,CIDREIRA,2,Fev,67,10.37
Ameaça,municipio_litoral,CIDREIRA,3,Mar,51,7.89
Ameaça,municipio_litoral,CIDREIRA,4,Abr,56,8.67
Ameaça,municipio_litoral,CIDREIRA,5,Mai,49,7.59
Ameaça,municipio_litoral,CIDREIRA,6,Jun,41,6.35
Ameaça,municipio_litoral,CIDREIRA,7,Jul,54,8.36
Ameaça,municipio_litoral,CIDREIRA,8,Ago,47,7.28
Ameaça,municipio_litoral,CIDREIRA,9,Set,48,7.43
Ameaça,municipio_litoral,CIDREIRA,10,Out,41,6.35
Ameaça,municipio_litoral,CIDREIRA,11,Nov,52,8.05
Ameaça,municipio_litoral,CIDREIRA,12,Dez,54,8.36
Ameaça,municipio_litoral,TRAMANDAI,1,Jan,258,11.69
Ameaça,municipio_litoral,TRAMANDAI,2,Fev,268,12.14
Ameaça,municipio_litoral,TRAMANDAI,3,Mar,200,9.06
Ameaça,municipio_litoral,TRAMANDAI,4,Abr,191,8.65
Ameaça,municipio_litoral,TRAMANDAI,5,Mai,143,6.48
Ameaça,municipio_litoral,TRAMANDAI,6,Jun,145,6.57
Ameaça,municipio_litoral,TRAMANDAI,7,Jul,143,6.48
Ameaça,municipio_litoral,TRAMANDAI,8,Ago,163,7.39
Ameaça,municipio_litoral,TRAMANDAI,9,Set,142,6.43
Ameaça,municipio_litoral,TRAMANDAI,10,Out,181,8.2
Ameaça,municipio_litoral,TRAMANDAI,11,Nov,180,8.16
Ameaça,municipio_litoral,TRAMANDAI,12,Dez,193,8.74
Ameaça,municipio_litoral,IMBE,1,Jan,122,12.99
Ameaça,municipio_litoral,IMBE,2,Fev,115,12.25
Ameaça,municipio_litoral,IMBE,3,Mar,77,8.2
Ameaça,municipio_litoral,IMBE,4,Abr,77,8.2
Ameaça,municipio_litoral,IMBE,5,Mai,86,9.16
Ameaça,municipio_litoral,IMBE,6,Jun,61,6.5
Ameaça,municipio_litoral,IMBE,7,Jul,58,6.18
Ameaça,municipio_litoral,IMBE,8,Ago,70,7.45
Ameaça,municipio_litoral,IMBE,9,Set,52,5.54
Ameaça,municipio_litoral,IMBE,10,Out,53,5.64
Ameaça,municipio_litoral,IMBE,11,Nov,75,7.99
Ameaça,municipio_litoral,IMBE,12,Dez,93,9.9
Ameaça,municipio_litoral,CAPAO DA CANOA,1,Jan,284,13.13
Ameaça,municipio_litoral,CAPAO DA CANOA,2,Fev,221,10.22
Ameaça,municipio_litoral,CAPAO DA CANOA,3,Mar,204,9.43
Ameaça,municipio_litoral,CAPAO DA CANOA,4,Abr,167,7.72
Ameaça,municipio_litoral,CAPAO DA CANOA,5,Mai,162,7.49
Ameaça,municipio_litoral,CAPAO DA CANOA,6,Jun,139,6.43
Ameaça,municipio_litoral,CAPAO DA CANOA,7,Jul,146,6.75
Ameaça,municipio_litoral,CAPAO DA CANOA,8,Ago,135,6.24
Ameaça,municipio_litoral,CAPAO DA CANOA,9,Set,160,7.4
